sl	Prog Name	reading-from-kvstore-AVG	reading-from-kvstore-SD	checksum-calculation-AVG	checksum-calculation-SD	matching-policy-AVG	matching-policy-SD	policy-checking-AVG	policy-checking-SD	bpf-check()-in-verifier-AVG	bpf-check()-in-verifier-SD	bpf-prog-load()-AVG	bpf-prog-load()-SD
1	trace-fields	1.80302	0.3329945365	0.08255888	0.08726485239	0.00035608	0.0002725235342	1.93534116	0.3885048976	1.28700088	0.4705445346	3.44722592	0.7543563581
2	hello-perf	1.99400532	0.4681816234	0.09427812	0.05331570991	0.0008114	0.0002112392009	2.16608616	0.4862098666	1.0475198	0.5465011849	3.59242812	0.7695768922
3	stacksnoop	1.80452464	0.4712876218	0.08197112	0.05036098962	0.00062424	0.0002882059166	1.95318616	0.5107235446	0.94250716	0.4877436426	3.2799314	0.9978334767
4	hello-perf-ns	2.12884828	0.5890549397	0.07147284	0.03860225233	0.00079044	0.0002864813956	2.28623752	0.6061937254	1.09444016	0.3994712822	3.77741328	0.8419554113
5	sync-timing	1.97912224	0.4352357975	0.09632652	0.03754005813	0.0009594	0.0002566753786	2.081172	0.4660234072	2.317868	0.4970135885	4.76431232	0.8790444215
6	strlen-count	2.20006956	0.4644430873	0.08947944	0.03917714144	0.00099632	0.0001428232357	2.38823	0.5122753021	1.67884572	0.3216730491	4.54251992	0.6795779885
7	trace-perf	1.95478684	0.3810417233	0.08994676	0.04337734753	0.00096984	0.0002196119077	2.11611572	0.4094389084	2.44210452	0.4928005922	4.9269088	0.7488250977
8	undump	2.0883386	0.3233201761	0.12278844	0.1216085835	0.00111148	0.0001666098537	2.29565628	0.2867278953	1.4512306	0.4709992298	4.20968112	0.4607984539
9	stack-buildid	2.2073044	0.6489616557	0.08109792	0.02651024879	0.00093128	0.0002360025635	2.36161044	0.6692755308	1.4768894	0.3745305256	4.29323816	0.7437093372
10	dddos	2.17923292	0.4629465409	0.08310636	0.03294680672	0.00071136	0.00005317806565	2.3550844	0.4822671206	1.79200032	0.3966189863	4.62969208	0.5022691362
11	tcpv4connect	1.92750756	0.3240647571	0.08072288	0.03795471586	0.0010678	0.0002135173685	2.08404996	0.343322054	2.60160104	0.5042822434	5.04523148	0.7743847244
12	biolatpcts	2.121088308	0.4008107484	0.09381519231	0.06270178684	0.0005772307692	0.00008547388265	2.309009769	0.4342071018	1.995317538	0.3315553488	4.737655731	0.372622939
13	strlen-hist	1.95937624	0.2538346357	0.09572132	0.04979197839	0.00099812	0.0002648457601	2.1406586	0.2974037116	1.89000672	0.4673060831	4.49889364	0.6657377693
14	nflatency	1.89369856	0.3084310635	0.11779588	0.1037242728	0.0008818	0.0001835839953	2.0919366	0.3443214565	2.52435024	0.4565031171	5.11483036	0.7302252722
15	vfsreadlat	2.05443912	0.3163900833	0.08633332	0.03267386473	0.0007848	0.0001651153637	2.20901476	0.3328462313	2.29916032	0.590564234	4.95969752	0.6738040118
